series,rating_avg,genres,pages,publication_type,publication_info,author_books,author_followers
True,4.09,"Star Trek,Science Fiction,Fiction,Media Tie In,Science Fiction Fantasy,Star Trek Original Series,Novels",223 pages, Mass Market Paperback,"First published July 1, 1982",143,347
True,3.77,"Mystery,Fiction,Crime,Noir,Historical Fiction,True Crime,Thriller",348 pages, Paperback,"First published September 1, 1987",119,3819
False,3.65,"Young Adult,LGBT,Contemporary,Fantasy,Fiction,Queer,Magical Realism",287 pages, Paperback,"First published May 4, 2017",42,18.3k
True,3.73,"Romance,Historical Romance,Historical Fiction,Historical,Fiction,Adult,Audiobook",432 pages, Paperback,"First published December 5, 2023",4,6435
False,4.02,"Psychology,Self Help,Nonfiction,Relationships,Feminism,Personal Development,Womens",255 pages, Paperback,"First published January 1, 1989",50,872
False,4.0,"Fiction,Thriller,Mystery,Mystery Thriller,Crime,Action,Audiobook",336 pages, Hardcover,"First published August 8, 2017",7,94
False,3.78,"History,Nonfiction,Military Fiction,Memoir,Biography,War,Science",295 pages, Kindle Edition,"First published September 27, 2005",21,3
False,3.94,"Young Adult,Contemporary,Realistic Fiction,Fiction,India,LGBT,Cultural",304 pages, Hardcover,"First published April 5, 2016",3,25
True,4.27,"Manga,Vampires,Fantasy,Romance,Graphic Novels,Supernatural,Magic",200 pages, Paperback,"First published October 4, 2006",86,171
False,4.26,"Nonfiction,Urbanism,History,Economics,Politics,Environment,Technology",256 pages, Hardcover,"First published March 28, 2023",21,10
False,4.06,"Fiction,Thriller,Mystery,Suspense,Crime,Mystery Thriller,Action",640 pages, Mass Market Paperback,"First published November 6, 2001",339,118k
True,4.14,"Historical Fiction,Fiction,Historical,War,Adventure,Military Fiction,British Literature",307 pages, Paperback,"First published October 10, 2023",429,17.2k
False,4.19,,2 pages, Audio CD,"First published January 1, 2010",220,267
True,3.7,"Urban Fantasy,Fantasy,Paranormal,Magic,Romance,Angels,Paranormal Romance",336 pages, Paperback,"First published August 4, 2015",54,9963
False,3.48,"Nonfiction,True Crime,History,Crime,Mystery,Biography,Historical",383 pages, Mass Market Paperback,"First published January 1, 2002",309,17.4k
True,3.7,"Science Fiction,Cyberpunk,Fiction,Horror,Novels,Speculative Fiction,United States",237 pages, Mass Market Paperback,"First published January 1, 1984",118,344
False,3.84,"Fiction,Romance,Contemporary,Audiobook,Adult Fiction,Chick Lit,Adult",288 pages, Paperback,"First published May 2, 2019",6,711
False,3.86,"Horror,Short Stories,Anthologies,Fiction,Literature",223 pages, Paperback,"First published January 1, 1981",2510,841k
False,4.25,"Art,Feminism,Art History,Nonfiction,Essays,Womens,History",204 pages, Paperback,"First published January 1, 1988",78,117
False,4.21,"Memoir,Nonfiction,Audiobook,Humor,Biography,Biography Memoir,Autobiography",368 pages, Hardcover,"First published November 2, 2021",4,67
True,3.79,"Young Adult,Romance,Fiction,Contemporary,Chick Lit,Teen,Childrens",260 pages, Mass Market Paperback,"First published December 7, 2001",273,34.4k
False,4.23,"Young Adult,Fiction,Coming Of Age,Classics,Romance,Mental Health,Realistic Fiction",213 pages, Paperback,"First published February 1, 1999",12,12.9k
True,3.91,"Mystery,Crime,Fiction,Thriller,Mystery Thriller,Suspense,Audiobook",283 pages, Hardcover,"First published August 16, 2012",159,16k
False,0.0,,228 pages, Hardcover,"First published January 1, 2024",2,0
True,4.17,"Romance,Romantic Suspense,Contemporary Romance,Suspense,Contemporary,Mystery,Audiobook",334 pages, Paperback,"First published January 31, 2023",32,19.7k
True,4.22,"Science Fiction,Fiction,Dystopia,Post Apocalyptic,Fantasy,Science Fiction Fantasy,Audiobook",509 pages, Kindle Edition,"First published January 27, 2012",126,55k
True,3.87,"Romance,Historical Romance,Historical,Historical Fiction,Scotland,Fiction,Medieval",326 pages, Mass Market Paperback,"First published January 1, 2013",14,291
True,3.9,"Thriller,Fiction,Mystery,Science Fiction,Adventure,Suspense,Mystery Thriller",370 pages, Hardcover,"First published March 15, 2007",127,4658
True,4.0,"Mystery,Historical Fiction,Fiction,Historical,Egypt,Historical Mystery,Audiobook",312 pages, Paperback,"First published January 1, 1981",162,3127
False,3.79,"Science Fiction,Fantasy,Fiction,Science Fiction Fantasy,Feminism,Aliens,Gender",544 pages, Mass Market Paperback,"First published January 1, 1998",83,1013
False,3.59,"Fiction,Contemporary,Audiobook,Chick Lit,Mystery,Adult Fiction,Adult",432 pages, Hardcover,"First published July 26, 2016",37,64.6k
True,3.73,"Mystery,Historical Fiction,Fiction,Thriller,Crime,World War II,Historical Mystery",342 pages, Paperback,"First published May 1, 1995",41,279
True,4.02,"Young Adult,Fantasy,Urban Fantasy,Paranormal,Demons,Magic,Fiction",440 pages, Hardcover,"First published May 18, 2010",70,5172
True,3.82,"Fiction,Mystery,Romance,Chick Lit,Novels",464 pages, Paperback,"First published March 1, 1984",316,292
True,4.25,"Paranormal,Paranormal Romance,Romance,Urban Fantasy,Angels,Vampires,Fantasy",310 pages, Mass Market Paperback,"First published May 8, 2011",255,25.5k
True,3.68,"Chick Lit,Romance,Italy,Fiction,Contemporary,Contemporary Romance,Travel",386 pages, Mass Market Paperback,"First published July 1, 2007",30,332
False,3.82,"Fiction,Chick Lit,Book Club,Humor,Contemporary,Adult,Adult Fiction",416 pages, Hardcover,"First published March 4, 2003",26,959
True,3.5,"Fantasy,Fiction,Paranormal,Witches,Audiobook,Contemporary,Adult",308 pages, Paperback,"First published September 28, 2021",3,3422
False,3.76,"Fiction,Historical Fiction,Germany,German Literature,Historical,Contemporary,Novels",151 pages, Paperback,"First published February 2, 2008",27,657
True,4.14,"Paranormal Romance,Paranormal,Romance,Shapeshifters,Demons,Fantasy,Magic",368 pages, Mass Market Paperback,"First published December 26, 2012",52,1224
True,4.45,"Historical Fiction,Christian Fiction,Fiction,Christian,Historical",312 pages, Paperback,"First published November 1, 2017",12,825
True,3.93,"Historical Fiction,Childrens,Fiction,Historical,Middle Grade,Chapter Books,Young Adult",80 pages, Paperback,"First published January 1, 1986",46,81
False,3.61,"Horror,Fantasy,Novella,Fiction,LGBT,Adult,Queer",106 pages, Hardcover,"First published May 2, 2023",122,2022
True,4.2,"Romance,New Adult,Contemporary,Contemporary Romance,College,Adult,Fiction",488 pages, ebook,"First published November 29, 2013",41,15.2k
False,3.25,,219 pages, Paperback,"First published May 1, 1987",70,8
True,3.68,"Historical Romance,Romance,Historical,Historical Fiction,Adult,Regency,Regency Romance",390 pages, Kindle Edition,"First published July 28, 2015",82,8207
False,4.23,"Nonfiction,Memoir,Audiobook,Biography,Autobiography,Biography Memoir,Mental Health",336 pages, Hardcover,"First published March 14, 2023",16,214
True,4.07,"Fiction,Thriller,Mystery,Mystery Thriller,Suspense,Military Fiction,Historical Fiction",859 pages, Mass Market Paperback,"First published January 29, 2002",175,6792
False,3.93,"Nature,Animals,Science,Nonfiction,Biology,Ecology",320 pages, Hardcover,"First published May 1, 2016",7,5
True,3.5,"Fantasy,Science Fiction,Fiction,Alternate History,Urban Fantasy,Audiobook,Science Fiction Fantasy",320 pages, Hardcover,"First published May 1, 2006",161,5612
False,3.97,"Fiction,Fantasy,Magical Realism,Contemporary,Literary Fiction,Audiobook,Books About Books",387 pages, Hardcover,"First published November 9, 2021",125,10.5k
False,3.71,"Fiction,Mystery,Thriller,Cults,Adult Fiction,Suspense,Mystery Thriller",313 pages, Hardcover,"First published March 1, 2016",2,75
True,4.47,Fairy Tales,19 pages, Kindle Edition,"First published June 11, 2020",217,200
False,4.18,"Thriller,Mystery,Fiction,Mystery Thriller,Suspense,Crime,Psychological Thriller",336 pages, Hardcover,"First published January 1, 2018",9,32.2k
True,3.53,"Mystery,Cozy Mystery,Fiction,Mystery Thriller,Books About Books,Christmas,Adult",336 pages, Paperback,"First published November 1, 2022",3,145
False,2.95,"Biography,War,Politics,Nonfiction,History,Film",336 pages, Hardcover,"First published April 7, 2020",7,11
True,3.94,"Mystery,Suspense,Romantic Suspense,Fiction,Romance,Thriller,Crime",333 pages, Hardcover,"First published March 28, 2017",742,6349
False,3.89,"Poetry,Nobel Prize,Post Colonial",120 pages, Paperback,"First published January 1, 1987",148,449
True,4.2,"Romance,Romantic Suspense,Contemporary Romance,Contemporary,Suspense,Doctors,Audiobook",324 pages, Paperback,"First published June 21, 2022",32,19.7k
True,3.95,"Horror,Fiction,Science Fiction,Zombies,Dystopia,Post Apocalyptic,Fantasy",461 pages, Paperback,"First published January 14, 2014",30,5928
True,3.62,"M M Romance,Romance,Contemporary,LGBT,Gay,Contemporary Romance,M M Contemporary",340 pages, ebook,"First published April 27, 2015",69,1969
False,2.84,"Fiction,20th Century",153 pages, Hardcover,"First published January 1, 1991",47,192
False,4.05,"Art,Essays,Nonfiction,Art History,History,Art Design,Criticism",448 pages, Paperback,"First published April 1, 1990",185,293
True,4.12,"Romance,Fiction",210 pages, Kindle Edition,"First published March 27, 2015",8,898
True,4.44,"Historical Fiction,Romance,Fantasy,Fiction,Time Travel,Historical,Historical Romance",820 pages, Hardcover,"First published September 22, 2009",261,177k
False,3.05,"Horror,Fiction,Dark",438 pages, Mass Market Paperback,"First published January 1, 1990",294,227
True,4.26,"Fantasy,Young Adult,Science Fiction,Fiction,Dystopia,Urban Fantasy,Audiobook",416 pages, Hardcover,"First published January 6, 2015",402,223k
True,4.18,"Urban Fantasy,Fantasy,Paranormal,Werewolves,Romance,Paranormal Romance,Fiction",460 pages, Mass Market Paperback,"First published April 25, 2006",265,31.4k
True,3.89,"Young Adult,Fantasy,Romance,Paranormal,Werewolves,Fiction,Paranormal Romance",390 pages, Hardcover,"First published July 12, 2011",63,169k
False,3.95,"Historical Fiction,Short Stories,Fiction,Historical,Canada,British Literature,Literary Fiction",192 pages, Hardcover,"First published October 16, 2007",31,379
False,3.93,"Science Fiction,Adventure,Middle Grade,Fiction,Childrens,Young Adult,Humor",311 pages, Hardcover,"First published May 15, 2008",80,245
True,4.27,"Paranormal,Mystery,Horror,Ghosts,Fantasy,Romance,Urban Fantasy",416 pages, Paperback,"First published April 1, 2017",233,2182
True,4.11,"Science Fiction,Fiction,Space Opera,LGBT,Queer,Audiobook,Space",358 pages, Paperback,"First published July 24, 2018",24,16.4k
False,3.69,"Nonfiction,Biography,Japan,Essays,France,Literature,Japanese Literature",160 pages, Paperback,"First published January 2, 1981",211,1403
True,3.99,"China,Fiction,Historical Fiction,Literature,Asian Literature,Chinese Literature,Novels",397 pages, Paperback,"First published January 1, 1996",29,12
True,4.03,"Mystery,Crime,Fiction,Noir,Thriller,Detective,Suspense",293 pages, Paperback,"First published February 12, 1987",168,847
True,3.96,"Steampunk,Young Adult,Fantasy,Romance,Historical Fiction,Historical,Science Fiction",416 pages, Hardcover,"First published May 22, 2012",15,1916
True,3.5,Romance,192 pages, Mass Market Paperback,"First published June 1, 1997",58,7
True,3.91,"Writing,Nonfiction,Reference,How To,Self Help,Crafts,Language",140 pages, Paperback,"First published July 15, 1990",603,19.5k
False,3.89,"Fiction,Historical Fiction,Romance,Classics,Mystery,Literary Fiction,Historical",555 pages, Paperback,"First published January 1, 1990",162,2454
True,4.01,"Science Fiction,Mystery,Fiction,Audiobook,Crime,Science Fiction Fantasy,Thriller",335 pages, Hardcover,"First published April 17, 2018",157,24k
True,3.73,"Fiction,Young Adult,Horror,Thriller,Romance,Drama,Gothic",169 pages, Paperback,"First published January 1, 1998",325,8073
True,4.38,"Mystery,Romance,Fiction,Crime,Futuristic,Suspense,Romantic Suspense",387 pages, Hardcover,"First published February 4, 2020",252,33.5k
False,3.85,"Race,Nonfiction",332 pages, Hardcover,"First published May 1, 1995",21,90
True,3.49,"Science Fiction,Young Adult,Fantasy,Space,Fiction,Audiobook,Adventure",359 pages, Hardcover,"First published February 20, 2018",4,526
True,4.55,"Manga,Romance,Shojo,Graphic Novels,Humor,Comics,Young Adult",200 pages, Paperback,"First published February 19, 2007",114,1038
True,4.21,"Mystery,Fiction,Middle Grade,Young Adult,Adventure,Fantasy,Childrens",440 pages, Hardcover,"First published May 1, 2008",28,3831
False,3.34,"Fantasy,Fiction,Horror,Novella,Science Fiction,New Weird,Speculative Fiction",210 pages, Hardcover,"First published January 5, 2016",153,14.3k
True,4.07,"M M Romance,Romance,Contemporary,LGBT,Contemporary Romance,Fiction,Crime",106 pages, ebook,"First published January 13, 2018",196,2526
False,4.33,"Nonfiction,Music",383 pages, Hardcover,"First published May 1, 1983",208,5
True,3.83,"Mystery,Cozy Mystery,Fiction,Mystery Thriller",302 pages, Paperback,"First published November 1, 2005",28,55
True,4.06,"Christian Fiction,Young Adult,Fiction,Christian",160 pages, Paperback,"First published January 1, 2009",9,48
False,4.03,"Historical Fiction,Young Adult,Holocaust,Fiction,Historical,World War II,Time Travel",170 pages, Paperback,"First published October 1, 1988",921,3024
False,4.03,"Mystery,Thriller,Fiction,Mystery Thriller,Suspense,Audiobook,Crime",370 pages, Kindle Edition,"First published January 1, 2018",85,522
False,4.16,"Politics,Nonfiction,History,Political Science,Sociology,Philosophy,Society",320 pages, Hardcover,"First published January 16, 2018",23,376
False,4.22,"Politics,Nonfiction,History,Audiobook,Psychology,Political Science,Sociology",336 pages, Hardcover,"First published January 28, 2020",3,509
True,4.1,"Mystery,Fiction,Thriller,Crime,Suspense,Mystery Thriller,Detective",423 pages, Kindle Edition,"First published May 26, 2009",421,30.2k
True,4.15,"Vampires,Young Adult,Fantasy,Paranormal,Fiction,Horror,Supernatural",478 pages, Paperback,"First published October 5, 2010",240,5179
False,4.15,"Thriller,Adventure,Fiction,Mystery,Action,Science Fiction,Suspense",510 pages, Mass Market Paperback,"First published March 19, 2002",176,13.3k
False,4.15,"Romance,Historical Fiction,Fiction,Contemporary,Chick Lit,Historical,France",427 pages, Kindle Edition,"First published May 14, 2020",2,294
False,3.8,"Nonfiction,Memoir,Biography,History",302 pages, Paperback,"First published January 28, 1997",69,602
False,3.65,"Fiction,Thriller,Mystery,Suspense,Mystery Thriller,Crime,Audiobook",469 pages, Mass Market Paperback,"First published November 23, 2004",390,53.7k
False,0.0,,156 pages, Hardcover,"First published January 1, 1980",34,6
True,3.72,"Science Fiction,Fiction,Time Travel,Fantasy,Historical Fiction,Audiobook,Alternate History",379 pages, Mass Market Paperback,"First published March 1, 2003",1414,10.4k
False,4.01,"Fantasy,Historical Fiction,Young Adult,Middle Grade,Fiction,Adventure,Mystery",324 pages, Hardcover,"First published September 1, 2011",23,426
False,4.28,"Romance,Young Adult,Contemporary,Fiction,Contemporary Romance,Mental Health,Coming Of Age",368 pages, Hardcover,"First published May 3, 2022",7,1338
True,4.03,"New Adult,Romance,Contemporary,Westerns,High School,Contemporary Romance,Love",,,"First published May 1, 2013",19,825
False,3.76,"Mystery,Fiction,Thriller,Mystery Thriller,Crime,Australia,Audiobook",374 pages, Hardcover,"First published September 22, 2020",18,12.8k
False,3.75,"Fiction,Historical Fiction,Africa,Zambia,Science Fiction,Magical Realism,Literary Fiction",576 pages, Hardcover,"First published March 25, 2019",21,657
False,3.57,"Fiction,Historical Fiction,Mystery,Art,Historical,Contemporary,Romance",565 pages, Hardcover,"First published January 12, 2010",16,4503
True,4.01,"Mystery,Fiction,Crime,Thriller,Mystery Thriller,Suspense,Jewish",544 pages, Mass Market Paperback,"First published August 1, 2003",158,1927
False,4.15,"Gardening,Nonfiction,Reference,How To,Food,Nature,Plants",272 pages, Paperback,"First published January 1, 1981",24,23
False,4.06,Music,208 pages, Paperback,"First published September 1, 1999",47,2
False,3.94,"Historical Fiction,Mystery,Fiction,Historical,Crime,Mystery Thriller,Historical Mystery",704 pages, Paperback,"First published January 1, 1997",28,858
True,4.14,"Mystery,Fiction,Humor,Short Stories,Crime,British Literature,20th Century",192 pages, Paperback,"First published January 1, 1982",285,212
False,3.9,"Fiction,Romance,Contemporary,British Literature,Historical Fiction,Adult Fiction,Book Club",359 pages, Hardcover,"First published January 1, 2010",4,2245
False,4.88,,Kindle Edition,Kindle Edition,"First published June 20, 2008",9,17
True,3.34,"Doctor Who,Science Fiction,Audiobook,Fiction,Fantasy,Werewolves,Media Tie In",2 pages, Audio CD,"First published May 1, 2001",101,44
False,3.56,"Fiction,Contemporary,Thriller,Audiobook,Mystery,Literary Fiction,Adult",354 pages, Hardcover,"First published November 3, 2020",2,693
False,3.65,"Romance,Mystery,Suspense,Romantic Suspense,Contemporary,Fiction,Westerns",280 pages, Paperback,"First published December 2, 2004",8,58
False,3.39,"Fiction,Novels,Mystery",288 pages, Hardcover,"First published March 30, 2010",11,7
False,3.62,"Fiction,Literary Fiction,Contemporary,Audiobook,Family,Adult Fiction,Adult",320 pages, Hardcover,"First published March 26, 2013",45,12.1k
False,3.73,"Picture Books,Fairy Tales,Childrens",32 pages, Hardcover,"First published March 31, 2006",14,7
True,3.88,"Fiction,Classics,Historical Fiction,African American,Literature,Literary Fiction,Novels",229 pages, Paperback,"First published April 1, 1992",208,19.3k
False,3.75,"Historical Fiction,Fiction,Romance,Asia,Historical,Asian Literature,Novels",310 pages, Hardcover,"First published June 14, 2011",14,120
False,4.06,"Young Adult,Contemporary,Fiction,Romance,Realistic Fiction,New Adult,Music",336 pages, Paperback,"First published March 1, 2010",29,7578
True,4.31,"Nonfiction,Essays,Race,Literary Criticism,African American,Writing,Theory",104 pages, Paperback,"First published May 1, 1992",208,19.3k
False,3.53,"Thriller,Mystery,Fiction,Suspense,Mystery Thriller,Psychological Thriller,Audiobook",323 pages, Paperback,"First published July 24, 2018",12,1664
False,3.81,"Chick Lit,Fiction,Romance,Contemporary,Audiobook,Adult,Humor",439 pages, Hardcover,"First published February 7, 2017",131,39.9k
False,3.12,"Romance,Contemporary,Novella,Clean Romance,Contemporary Romance,Chick Lit",115 pages, Kindle Edition,"First published May 5, 2023",32,2238
True,3.94,"New Adult,Romance,Contemporary,Mystery,Dark,Thriller,Mystery Thriller",324 pages, Paperback,"First published February 15, 2014",17,2891
True,4.02,"Paranormal,Mystery,Romance,Fiction,Paranormal Romance,Suspense,Romantic Suspense",352 pages, Hardcover,"First published March 27, 2012",742,6350
False,4.13,"Horror,Middle Grade,Young Adult,Fiction,Mystery,Childrens,Paranormal",184 pages, Paperback,"First published January 1, 1986",62,3847
False,3.63,,224 pages, Hardcover,"First published November 13, 1999",2,0
True,4.01,"Paranormal,Paranormal Romance,Romance,Shapeshifters,Fantasy,Werewolves,Adult",366 pages, Kindle Edition,"First published February 11, 2014",74,13.4k
True,3.87,"Fantasy,Romance,Fairy Tales,Fiction,Dragons,Magic,Science Fiction Fantasy",400 pages, Mass Market Paperback,"First published March 1, 2006",639,8722
True,4.07,"Manga,Manhwa,Adventure,Fantasy,Graphic Novels",200 pages, Paperback,"First published February 29, 2008",67,19
False,3.88,"Music,Biography Memoir",226 pages, Hardcover,"First published March 1, 2003",18,1
True,3.9,"Fiction,Mystery,Thriller,Crime,Horror,Mystery Thriller,Suspense",288 pages, Paperback,"First published May 5, 2004",62,3880
True,3.8,"Mystery,Historical Fiction,Historical,Cozy Mystery,Fiction,Historical Mystery,Romance",272 pages, Hardcover,"First published June 26, 2018",9,1104
False,3.78,"Historical Fiction,Christian Fiction,Historical,Romance,Civil War,Christian,Historical Romance",336 pages, Paperback,"First published December 10, 2013",24,217
True,3.73,"Childrens,Young Adult",115 pages, Hardcover,"First published October 1, 1999",667,267
False,3.53,"Biography,Politics,Nonfiction,Autobiography,United States,Biography Memoir",438 pages, Hardcover,"First published January 1, 2007",5,4
True,4.03,"Fantasy,Fiction",130 pages, ebook,"First published May 1, 2016",62,564
True,4.2,"Fantasy,Science Fiction,Fiction,Novels,Science Fiction Fantasy,Speculative Fiction,Classics",279 pages, Hardcover,"First published January 1, 1982",496,3095
False,3.43,"Fantasy,Fiction,Speculative Fiction,Science Fiction Fantasy,Magic,Canada",360 pages, Mass Market Paperback,"First published August 1, 1996",28,140
False,3.8,"Thriller,Mystery,Fiction,Mystery Thriller,Audiobook,Suspense,Psychological Thriller",375 pages, Hardcover,"First published January 8, 2019",10,10.9k
True,4.05,"Mystery,Historical Fiction,Historical,Romance,Historical Mystery,Fiction,Historical Romance",552 pages, Paperback,"First published December 28, 2007",38,7773
True,4.17,"Fantasy,Historical Fiction,Fiction,Historical,Historical Fantasy,China,Science Fiction Fantasy",592 pages, Hardcover,"First published April 27, 2010",39,8121
False,5.0,,53 pages, Paperback,"First published November 15, 2021",4,1
False,4.13,"Politics,Nonfiction,History,American History,Audiobook,Political Science,Memoir",256 pages, Hardcover,"First published August 4, 2020",12,68
False,3.56,"Fiction,Humor,Comedy,Contemporary,Mystery,Novels,Book Club",384 pages, Hardcover,"First published January 1, 2006",51,1327
True,3.71,"Fantasy,Short Stories,Anthologies,Fiction,Magic,Urban Fantasy,Young Adult",400 pages, Hardcover,"First published January 1, 2007",239,104
False,4.41,"Historical Fiction,Fiction,World War II,Historical,Holocaust,War,Audiobook",403 pages, Hardcover,"First published February 14, 2017",6,1643
True,4.02,"Paranormal,Romance,Shapeshifters,Paranormal Romance,Fantasy,Humor,Audiobook",236 pages, Kindle Edition,"First published March 2, 2016",317,5265
False,3.75,"Middle Grade,Humor,Fiction,Childrens,Books About Books,Audiobook,Juvenile",128 pages, Hardcover,"First published October 6, 2022",18,781
True,3.87,"Mystery,Fiction,Thriller,Audiobook,Mystery Thriller,Suspense,Crime",307 pages, Hardcover,"First published January 1, 1990",98,1336
False,4.16,"History,Biography,Nonfiction,Russia,Politics,Russian History,Biography Memoir",392 pages, Hardcover,"First published February 4, 2015",11,33
True,4.07,"Urban Fantasy,Paranormal,Fantasy,Ghosts,Magic,Witches,Romance",343 pages, Mass Market Paperback,"First published June 1, 2010",33,2541
True,3.83,"Chick Lit,Romance,Fiction,Contemporary,Young Adult,Contemporary Romance,Humor",379 pages, Mass Market Paperback,"First published October 1, 2002",273,34.4k
False,4.26,"Romance,Contemporary Romance,Contemporary,Adult,Humor,New Adult,Art",413 pages, Paperback,"First published September 18, 2016",79,9464
False,3.65,"Romance,Contemporary,Fiction,Category Romance,Adult,Romantic",218 pages, Mass Market Paperback,"First published June 1, 1987",414,6753
True,4.16,"Young Adult,Dystopia,Fantasy,Science Fiction,Romance,Fiction,Adventure",305 pages, Hardcover,"First published November 29, 2011",51,135k
False,4.08,"Romance,Harlequin,Contemporary Romance,Harlequin Romance,Clean Romance,Contemporary,Hqn",187 pages, Paperback,"First published January 1, 1981",613,375
False,4.17,"Nonfiction,Humor,Politics,Race,History,Audiobook,Adult",272 pages, Hardcover,"First published June 30, 2020",6,186
False,3.56,"Fiction,Contemporary,Literary Fiction,Audiobook,Novels,Fantasy,Humor",210 pages, Hardcover,"First published February 16, 2021",14,1918
True,3.92,"China,Fiction,Historical Fiction,Chinese Literature,Asia,Historical,Literature",440 pages, Hardcover,"First published January 1, 1991",88,46
False,4.13,"Young Adult,Contemporary,LGBT,Fiction,Realistic Fiction,Queer,Coming Of Age",452 pages, Hardcover,"First published March 7, 2017",39,14.9k
False,4.5,"Mystery,Fiction,Crime,Thriller,Detective,Suspense,Mystery Thriller",821 pages, Hardcover,"First published October 2, 2000",422,30.2k
False,4.17,"Historical Fiction,Fiction,World War II,Russia,Historical,War,Audiobook",301 pages, Paperback,"First published January 1, 2018",11,1081
True,3.9,"Fantasy,Animals,Middle Grade,Fiction,Adventure,Childrens,Young Adult",320 pages, Hardcover,"First published May 27, 2008",343,9281
True,3.64,"BDSM,Erotica,Menage,Romance,Dark,Contemporary,Adult",137 pages, Kindle Edition,"First published December 1, 2010",76,2167
True,3.79,"Urban Fantasy,Fantasy,Paranormal,Fiction,Romance,Magic,Mystery",410 pages, Paperback,"First published May 22, 2007",120,815
True,4.05,"Horror,Thriller,Mystery,Fiction,Science Fiction,Mystery Thriller,Suspense",480 pages, Mass Market Paperback,"First published January 1, 1995",157,12k
False,3.93,"China,Nonfiction,History,Asia,Sociology,Economics,Biography",420 pages, Hardcover,"First published January 1, 2008",3,135
False,4.03,"Historical Fiction,Middle Grade,Young Adult,Fiction,Childrens,Historical,Realistic Fiction",262 pages, Paperback,"First published October 1, 2000",67,1517
False,3.97,"Historical Fiction,Fiction,Historical,Asia,World War II,War,Audiobook",352 pages, Hardcover,"First published January 2, 2024",2,217
False,4.18,"Cookbooks,Nonfiction",80 pages, Hardcover,"First published August 2, 2007",13,1
True,4.43,"Urban Fantasy,Fantasy,Fae,Fiction,Paranormal,Romance,Magic",384 pages, Hardcover,"First published September 14, 2021",475,16k
False,3.25,"Fiction,Romance,Chick Lit,Contemporary,Adult,Australia,Womens Fiction",766 pages, Hardcover,"First published January 1, 2009",42,4901
True,4.01,"Historical Fiction,Romance,Historical,Young Adult,Christian,Christian Fiction,Retellings",336 pages, Hardcover,"First published August 15, 2023",35,5889
True,4.0,"Science Fiction,Fiction,Aliens,Paranormal,Military Fiction,Thriller,Fantasy",384 pages, Mass Market Paperback,"First published January 1, 2000",39,152
True,4.2,"Romance,Contemporary Romance,Erotica,BDSM,Contemporary,Adult,Erotic Romance",276 pages,276 pages,"First published March 23, 2014",46,16.1k
True,4.15,"Mystery,Young Adult,Mystery Thriller,Audiobook,Contemporary,Fiction,Thriller",369 pages, Hardcover,"First published January 22, 2019",63,15.4k
False,3.89,"History,Nonfiction,Biography,Military Fiction,Muslims,Technology,Politics",432 pages, Hardcover,"First published January 1, 2007",18,12
False,4.0,"Nonfiction,Language,Linguistics,Essays,Literature,Writing,Italy",112 pages, Hardcover,"First published January 1, 2003",861,10.8k
False,3.96,"Nonfiction,Memoir,Biography,Sports,Health,Fitness,Autobiography",270 pages, Paperback,"First published May 13, 2008",8,12
False,3.81,"Horror,Fiction,Thriller,Mystery,Suspense,Mystery Thriller,Fantasy",432 pages, Mass Market Paperback,"First published January 1, 1997",918,36.2k
False,3.0,,434 pages, Paperback,"First published July 31, 2009",1,book2
True,4.19,"Mythology,Greek Mythology,Fantasy,Historical Fiction,Fiction,Retellings,Historical",432 pages, Hardcover,"First published August 22, 2023",23,3644
True,3.86,"Mystery,Fiction,Crime,Thriller,Suspense,Mystery Thriller,Legal Thriller",Audiobook,Audiobook,"First published January 4, 2005",85,1556
True,3.63,"Mystery,Fiction,Archaeology,Historical Fiction,Mystery Thriller,Canada,Murder Mystery",336 pages, ebook,"First published April 1, 1999",21,129
False,3.97,"Historical Fiction,Holocaust,Young Adult,World War II,Historical,Fiction,Middle Grade",169 pages, Paperback,"First published January 1, 1996",55,22
True,4.18,"Fantasy,Short Stories,Fiction,High Fantasy,Science Fiction Fantasy,Anthologies,Adventure",206 pages, Paperback,"First published September 2, 2014",84,18.1k
False,4.07,"History,Nonfiction,Biography,France,Books About Books,Literature,Biography Memoir",447 pages, Paperback,"First published January 1, 1983",22,34
False,3.91,"Fiction,Dystopia,Science Fiction,American,Novels,Post Apocalyptic,Literature",188 pages,188 pages,"First published January 1, 1987",248,10.9k
False,3.85,"Self Help,Nonfiction,Psychology,Buddhism,Philosophy,Spirituality,Audiobook",224 pages, Paperback,"First published March 1, 2016",3,6
False,4.37,"Sewing,Fashion,Nonfiction,Crafts,Art,Reference,Fashion Design",312 pages, Paperback,"First published October 1, 1996",8,10
False,3.49,"Fiction,Historical Fiction,Adventure,Pirates,Thriller,Historical,Fantasy",312 pages, Hardcover,"First published November 24, 2009",205,17.3k
False,3.61,"Fiction,Historical Fiction,Fantasy,Magical Realism,India,Literature,Italy",359 pages, Hardcover,"First published January 1, 2008",139,11.4k
True,3.73,"Young Adult,Fiction,Realistic Fiction,Crime,Contemporary,Teen,School",281 pages, Paperback,"First published April 21, 1999",209,1106
True,4.22,"Romance,New Adult,Contemporary Romance,Music,Contemporary,Young Adult,High School",225 pages, Kindle Edition,"First published April 1, 2015",41,2957
False,3.75,"Fiction,Literary Fiction,Philosophy,American,Novels",186 pages, Paperback,"First published September 1, 2007",81,481
